Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
African Wild Cat,NPR3,26-Apr-17,8:41:51,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
African Wild Cat,NPR2,13-May-17,16:27:13,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE
African Wild Cat,NPR3,17-Jun-17,15:48:26,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE
African Wild Cat,NPR1,26-Oct-17,4:27:45,Dark,FALSE,Dark,TRUE,TRUE,8,FALSE
African Wild Cat,NPR2,01-Apr-18,15:47:55,Ok,FALSE,Shade,FALSE,TRUE,31,FALSE
African Wild Cat,NPR2,30-Apr-18,16:39:01,Dark,FALSE,Shade,FALSE,TRUE,21,FALSE
Baboon,NPR1,06-May-17,17:40:01,Dark,FALSE,Shade,TRUE,TRUE,20,FALSE
Baboon,NPR1,14-May-17,9:02:14,Ok,FALSE,Sunny,TRUE,TRUE,11,FALSE
Baboon,NPR2,22-May-17,10:50:57,Ok,FALSE,Sunny,FALSE,TRUE,15,FALSE
Baboon,NPR2,22-May-17,13:50:18,Ok,FALSE,Sunny,FALSE,TRUE,26,FALSE
Baboon,NPR1,24-May-17,17:29:59,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE
Baboon,NPR1,25-May-17,16:48:24,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Baboon,NPR1,25-May-17,17:00:02,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Baboon,NPR1,25-May-17,17:03:28,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Baboon,NPR1,30-May-17,14:32:30,Ok,FALSE,Shade,TRUE,TRUE,30,FALSE
Baboon,NPR2,01-Jun-17,14:22:27,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Baboon,NPR1,03-Jun-17,15:04:41,Dark,FALSE,Shade,TRUE,TRUE,31,FALSE
Baboon,NPR2,04-Jun-17,13:39:51,Ok,FALSE,Sunny,FALSE,TRUE,22,FALSE
Baboon,NPR3,09-Jun-17,15:50:26,Ok,FALSE,Sunny,FALSE,TRUE,13,FALSE
Baboon,NPR1,10-Jun-17,10:40:23,Ok,FALSE,Sunny,TRUE,TRUE,17,FALSE
Baboon,NPR1,11-Jun-17,17:58:11,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE
Baboon,NPR2,16-Jun-17,15:31:55,Ok,FALSE,Shade,FALSE,TRUE,20,FALSE
Baboon,NPR1,21-Jun-17,16:13:13,Dark,FALSE,Shade,TRUE,TRUE,20,FALSE
Baboon,NPR3,24-Jun-17,12:04:03,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE
Baboon,NPR3,24-Jun-17,15:55:20,Ok,FALSE,Shade,FALSE,TRUE,23,FALSE
Baboon,NPR2,25-Jun-17,12:00:44,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
Baboon,NPR2,03-Jul-17,15:31:54,Ok,FALSE,Shade,FALSE,TRUE,21,FALSE
Baboon,NPR2,04-Jul-17,15:40:33,Ok,FALSE,Shade,FALSE,TRUE,22,FALSE
Baboon,NPR3,08-Jul-17,10:39:52,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Baboon,NPR2,12-Jul-17,10:49:04,Ok,FALSE,Sunny,FALSE,TRUE,5,FALSE
Baboon,NPR2,29-Jul-17,11:21:23,Ok,FALSE,Sunny,FALSE,TRUE,16,FALSE
Baboon,NPR1,31-Jul-17,16:22:32,Dark,FALSE,Shade,TRUE,TRUE,27,FALSE
Baboon,NPR1,18-Aug-17,10:27:48,Ok,FALSE,Sunny,TRUE,TRUE,15,FALSE
Baboon,NPR2,23-Aug-17,10:19:21,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
Baboon,NPR2,27-Aug-17,9:44:11,Ok,FALSE,Sunny,FALSE,TRUE,11,FALSE
Baboon,NPR2,28-Aug-17,11:28:20,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
Baboon,NPR2,09-Sep-17,7:23:12,Ok,FALSE,Shade,FALSE,TRUE,12,FALSE
Baboon,NPR2,10-Sep-17,10:39:28,Ok,FALSE,Sunny,FALSE,TRUE,20,FALSE
Baboon,NPR2,10-Sep-17,11:00:02,Ok,FALSE,Sunny,FALSE,TRUE,21,FALSE
